servername,instanceid,servertype
USEADVMN1DB5,i-0466bca17747ef987,DB
USEAPDMN11DB05,i-0d81a3e3429ce1a28,DB
USEAPDMN11DB1,i-0b44d79ff95a6c5ec,DB
USEAPDMN11DB2,i-0e08fa3e8dddf71f2,DB
USEAPDMN11DB3,i-0fee530d3283ac725,DB
USEAPDMN11DB4,i-002c633a924044ec6,DB
USEAPDMN11DB5,i-0eadc65e23993d2c9,DB
USEAPDMN12DB1,i-064a5534449e85358,DB
USEAPDMN12DB2,i-0b94c78a2fba8ea0c,DB
USEAPDMN12DB4,i-05396c70cf0ab3399,DB
USEAPDMN12DB5,i-0f8a3c37f8fcdd7a1,DB
USEAPDMN13DB1,i-05809b811f19241f7,DB
USEAPDMN13DB2,i-0eaf7536535b22032,DB
USEAPDMN13DB4,i-0a9f370ff7e9bfe4b,DB
USEAPDMN13DB5,i-0552159cad2b87c07,DB
USEAPDMN1DB1,i-0a4f961cb49095f3a,DB
USEAPDMN1DB2,i-0cee846f435ab3a6b,DB
USEAPDMN1DB6,i-0357585c1384d42c4,DB
USEAPDMN1DB7,i-04ecfb68097394b40,DB
USEAPDMN1DB8,i-07f804182a9831f74,DB
USEAPDMN1DB9,i-0e7d484c7cd7db39b,DB
USEATTMN11DB1,i-04c7408ee01db0805,DB
USEATTMN11DB3,i-02b9bda76ef3fe4e7,DB
USEATTMN11DB4,i-03b38a2e44876e39e,DB
USEATTMN12DB1,i-0110ce5c48334e4f3,DB
USEATTMN12DB4,i-03f69f8ef9d5b9a13,DB
USEATTMN13DB1,i-0ea66dc85eb24905a,DB
USEATTMN13DB4,i-027055fd2179de593,DB
USEATTMN1DB1,i-01d18a87febf3209f,DB
USEATTMN1DB3,i-07465c54072a31daf,DB
USEATTMN1DB5,i-0957488aefa0281e0,DB
USWEDRMN11DB1,i-0b55caddbbfba2a10,DB
USWEDRMN11DB2,i-0445bfce4e6faa128,DB
USWEDRMN12DB3,i-06ab8452ec9a5cc9c,DB
USWEDRMN12DB6,i-0b35da42bff5890f0,DB
USWEDRMN13DB1,i-0a3f67e75b778036e,DB
USWEDRMN13DB2,i-01ca46ca6dee7b205,DB
USWEDRMN1DB1,i-07118af0c14cc9d1f,DB
USWEDRMN1DB6,i-045aee027ca18257f,DB
USWEDRMN1DB8,i-0d63092ac5f276f47,DB
EUWEPDMN15DB3_OLD,i-089d4fd2f90e9fd20,DB
USEADVMN1DB4,i-01cc5c48260ff2bbe,DB
USEATTMN1DB4,i-0c309f61e55dcdac4,DB
EUWEINMN6DB1,i-0a2e224813d9ec099,DB
APAUDRMN5DB1,i-076f2aed7ed92ac3e,DB
APSPDVMN5DB1,i-0719d9a16b8191017,DB
APSPDVMN5DB3,i-0166ce03938ac23ec,DB
APSPPDMN5DB1,i-0f4e824938e89f52f,DB
APSPPDMN5DB2,i-0f1e9e98815c30667,DB
APSPPDMN5DB3,i-0f743695bea38db6c,DB
APSPTTMN5DB1,i-067c3034c312d8b44,DB
APSPTTMN5DB3,i-0cc094cfce26f2165,DB
EUCEDRMN10DB1,i-0e04962ecec04f1ab,DB
EUCEDRMN15DB1,i-0ef27509ed65d6fad,DB
EUCEDRMN15DB2,i-0368faff2afdbf0e3,DB
EUCEDRMN16DB5,i-04b83343bc033d58c,DB
EUCEDRMN2DB1,i-061588e0182b9edca,DB
EUCEDRMN2DB7,i-0c38d63fc868aa1a5,DB
EUCEDRMN4DB1,i-0592bd85956cc9f32,DB
EUCEDRMN7DB4,i-0e9ff18b80a2d6e51,DB
EUCEDRMN7DB7,i-0b9e8b6b336eedb03,DB
EUCEDRMN7DB9,i-0687fd49194f4c193,DB
EUCEDRMN8DB1,i-0fe7af8b7333c08c0,DB
EUCEDRMN9DB1,i-0ceb94ce3a42284ec,DB
EUCEDRMN9DB10,i-0c09c0972dd34aa51,DB
EUCEDRMN9DB12,i-04b711913618d5b17,DB
EUCEDRMN9DB7,i-0f1df12ca5a47b6c3,DB
EUCEINMN6DB1,i-060eaeb41933dfa8f,DB
EUCEINMN6DB3,i-01ddd19362fcc5003,DB
EUNOPDMN1DB2,i-076ade1b9c9a685c8,DB
EUWEDVMN10DB1,i-04a126007854f26d4,DB
EUWEDVMN10DB13,i-08e6617c30a79839c,DB
EUWEDVMN10DB3,i-09d8afc0e243a4637,DB
EUWEDVMN10DB4,i-080d80592e4eba98e,DB
EUWEDVMN15DB1,i-01453bfedd4f9d2e8,DB
EUWEDVMN15DB13,i-0e6066706d2f95631,DB
EUWEDVMN15DB3,i-01fe11da321e64717,DB
EUWEDVMN15DB4,i-0c717a6fe86e83ef5,DB
EUWEDVMN16DB2,i-01fae7ddba1b48b74,DB
EUWEDVMN16DB4,i-0297379d2b8cc50e0,DB
EUWEDVMN2DB1,i-0ed7a16d374d622e0,DB
EUWEDVMN2DB13,i-082d8cf1aaffcba6c,DB
EUWEDVMN2DB3,i-04744561f4d06acf7,DB
EUWEDVMN2DB7,i-0197ff408aee4d500,DB
EUWEDVMN2DB8,i-0f5ecbfd95b197fe8,DB
EUWEDVMN2DB9,i-098cce749dff1f21b,DB
